scientific_name,Bryce National Park,Great Smoky Mountains National Park,Yellowstone National Park,Yosemite National Park
Euphorbia dentata var. dentata,84,41,250,134
Euphorbia esula,145,58,253,155
Euphorbia lathyris,84,82,261,135
Euphorbia marginata,68,75,257,175
Euphorbia mercurialina,84,90,237,171
Euphorbia pubentissima,67,67,257,148
Euphorbia purpurea,88,67,213,143
Eurhynchium hians,112,46,244,165
Eurhynchium pulchellum,102,90,259,158
Eurybia chlorolepis,95,91,216,113
Eurybia conspicua,96,54,243,147
Eurybia divaricata,90,97,227,144
Eurybia integrifolia,66,76,232,129
Eurybia macrophylla,81,76,234,130
Eurybia merita,108,87,250,153
Eurybia surculosa,95,73,226,131
Eurycea,81,88,218,147
Eurycea bislineata,73,115,238,158
Eurycea cirrigera,95,104,279,162
Eurycea guttolineata,105,49,218,170
Eurycea junaluska,121,46,262,145
Eurycea longicauda longicauda,122,66,258,147
Eurycea lucifuga,67,58,236,159
Eurycea wilderae,105,54,251,157
Euthamia occidentalis,78,74,224,128
Fabronia ciliaris,111,72,214,146
Fabronia ciliaris var. polycarpa,85,62,264,137
Fagopyrum esculentum,74,26,255,153
Fagopyrum vulgare,112,108,232,165
Fagus grandifolia,100,71,221,161
Falco columbarius,94,28,258,122
Falco mexicanus,116,55,200,121
Falco peregrinus,100,38,232,112
Falco peregrinus anatum,72,70,176,152
Falco sparverius,102,54,211,126
Felis concolor,65,72,284,146
Felis silvestris,103,61,259,150
Festuca arundinacea,98,57,218,153
Festuca baffinensis,124,26,278,100
Festuca brachyphylla,121,66,256,133
Festuca brachyphylla ssp. breviculmis,106,65,275,167
Festuca filiformis,68,79,240,177
Festuca idahoensis,102,106,239,164
Festuca minutiflora,88,74,286,116
Festuca occidentalis,87,69,246,150
Festuca ovina,100,98,250,150
Festuca paradoxa,109,83,262,142
Festuca rubra,188,141,501,288
Festuca saximontana,76,71,265,121
Festuca saximontana var. purpusiana,63,110,236,172
Festuca subulata,64,141,268,158
Festuca subverticillata,98,101,230,100
Filago gallica,90,46,258,176
Filipendula rubra,62,79,252,145
Fimbristylis autumnalis,126,91,208,140
Fimbristylis tomentosa,110,78,252,115
Fissidens bryoides,124,73,249,142
Fissidens bushii,119,51,234,162
Fissidens exilis,102,105,243,127
Fissidens hyalinus,94,57,227,152
Fissidens osmundioides,133,62,267,177
Fissidens subbasilaris,108,76,254,167
Fissidens taxifolius,87,76,257,115
Fleischmannia incarnata,96,51,227,156
Floerkea proserpinacoides,96,17,235,131
Foeniculum vulgare,141,97,253,172
Fontinalis,113,62,273,148
Fontinalis dalecarlica,72,86,239,154
Fontinalis flaccida,88,68,263,150
Fontinalis novae-angliae,79,94,247,123
Fontinalis novae-angliae var. novae-angliae,96,88,232,142
Fontinalis sullivantii,97,103,244,159
Forsstroemia trichomitria,117,33,300,140
Forsythia suspensa,97,104,292,145
Forsythia viridissima,98,94,243,143
Fothergilla major,102,85,229,141
Fragaria vesca,179,182,492,305
Fragaria virginiana,211,217,487,255
Frangula caroliniana,125,43,217,130
Frasera caroliniensis,89,62,244,137
Frasera speciosa,72,53,220,122
Fraxinus americana,100,122,249,106
Fraxinus dipetala,108,83,234,106
Fraxinus latifolia,81,79,269,126
Fraxinus pennsylvanica,91,74,244,153
Fraxinus profunda,129,79,262,147
Fraxinus quadrangulata,58,85,242,146
Fritillaria atropurpurea,99,47,246,170
Fritillaria micrantha,71,88,277,181
Fritillaria pinetorum,45,75,260,119
Fritillaria pudica,92,51,249,165
Fulica americana,91,114,255,158
Funaria calvescens,140,74,223,152
Funaria flavicans,97,98,231,147
Funaria hygrometrica,73,71,276,163
Fundulus catenatus,87,54,211,155
Gaillardia aristata,100,58,268,167
Gaillardia pulchella,99,62,225,166
Galactia regularis,52,84,221,155
Galactia volubilis,145,120,247,159
Galax urceolata,96,72,233,156
Galearis spectabilis,81,97,246,154
Galeopsis ladanum,122,85,269,137
Galeopsis tetrahit,78,51,222,117
Galinsoga parviflora,121,68,274,164
Galinsoga quadriradiata,93,96,242,153
Galium aparine,191,156,490,266
Galium asprellum,77,68,249,156
Galium bifolium,40,65,238,159
Galium bolanderi,49,76,224,133
Galium boreale,79,99,252,137
Galium circaezans,114,78,267,165
Galium concinnum,140,98,256,143
Galium hypotrichium ssp. hypotrichium,72,41,252,181
Galium lanceolatum,76,112,257,149
Galium latifolium,115,46,245,120
Galium mollugo,109,98,210,146
Galium multiflorum,115,55,224,165
Galium obtusum,96,96,249,114
Galium parisiense,145,95,234,165
Galium pedemontana,112,43,271,135
Galium pilosum,83,83,218,158
Galium pilosum var. pilosum,127,61,280,164
Galium pilosum var. puncticulosum,137,112,252,137
Galium porrigens var. tenue,113,50,213,134
Galium sparsiflorum,119,73,243,156
Galium sparsiflorum ssp. sparsiflorum,86,58,261,145
Galium tinctorium,119,86,246,180
Galium trifidum,97,127,228,141
Galium triflorum,192,185,493,313
Galium verum,121,75,183,132
Gallinago delicata,78,91,218,117
Gallinago gallinago,99,66,255,166
Gallinula chloropus,110,37,274,181
Gambusia affinis,143,84,239,157
Gambusia holbrooki,93,72,259,161
Gamochaeta falcata,97,82,257,169
Gamochaeta purpurea,71,96,244,132
Garrya fremontii,75,70,226,158
Gastrophryne carolinensis,88,84,235,132
Gaultheria humifusa,70,106,225,144
Gaultheria procumbens,63,63,252,147
Gaura biennis,128,61,256,114
Gaura filipes,95,102,228,145
Gaura parviflora,115,52,243,166
Gavia immer,168,121,408,319
Gavia pacifica,212,88,495,224
Gavia stellata,100,76,204,163
Gaylussacia baccata,94,63,265,167
Gaylussacia ursina,116,122,258,133
Gayophytum decipiens,98,92,224,138
Gayophytum diffusum ssp. diffusum,94,41,280,129
Gayophytum diffusum ssp. parviflorum,89,38,228,148
Gayophytum eriospermum,118,95,278,182
Gayophytum heterozygum,55,70,267,148
Gayophytum humile,121,101,249,177
Gayophytum racemosum,113,53,259,138
Gayophytum ramosissimum,101,41,264,160
Gentiana calycosa,122,82,203,165
Gentiana clausa,81,86,267,127
Gentiana decora,124,112,249,173
Gentiana linearis,92,79,246,163
Gentiana newberryi var. tiogana,107,67,258,159
Gentiana saponaria,92,61,228,137
Gentiana villosa,126,50,273,158
Gentianella amarella ssp. acuta,130,108,239,132
Gentianella quinquefolia ssp. quinquefolia,110,93,259,175
Gentianella tenella,88,102,260,106
Gentianella tenella ssp. tenella,109,67,218,171
Gentianopsis holopetala,102,91,254,168
Gentianopsis simplex,87,84,271,173
Geococcyx californianus,136,38,232,150
Geothlypis tolmiei,67,80,270,202
Geothlypis trichas,103,86,259,181
Geranium bicknellii,116,56,259,141
Geranium californicum,111,58,254,129
Geranium carolinianum,152,149,505,309
Geranium columbinum,112,109,269,159
Geranium dissectum,86,119,221,129
Geranium maculatum,104,101,267,180
Geranium molle,105,92,275,167
Geranium pusillum,84,62,283,126
Geranium richardsonii,90,34,271,126
Geranium robertianum,93,86,232,165
Geranium sibiricum,89,48,236,115
Geranium thunbergii,120,70,244,150
Geranium viscosissimum var. nervosum,101,115,272,163
Geranium viscosissimum var. viscosissimum,90,75,248,178
Geum aleppicum,112,70,241,119
Geum aleppicum var. strictum,71,80,260,131
Geum canadense,100,72,251,154
Geum macrophyllum,84,77,263,119
Geum macrophyllum var. perincisum,82,74,236,146
Geum radiatum,25,27,63,47
Geum rivale,103,112,191,137
Geum rossii var. turbinatum,105,58,241,171
Geum triflorum,107,84,234,170
Geum vernum,131,105,228,146
Geum virginianum,85,74,279,166
Gila atraria,84,90,296,142
Gilia capillaris,105,51,253,130
Gilia capitata ssp. abrotanifolia,54,63,261,185
Gilia capitata ssp. mediomontana,93,62,216,152
Gilia capitata ssp. pedemontana,101,54,276,120
Gilia leptalea,78,92,260,135
Gilia leptalea ssp. bicolor,97,55,236,160
Gilia leptalea ssp. leptalea,124,73,262,175
Gilia tricolor ssp. tricolor,85,72,243,177
Githopsis specularioides,92,85,216,134
Gladiolus X gandavensis,93,78,265,145
Glaucidium gnoma,176,188,460,306
Glaucomys sabrinus,86,82,274,144
Glaucomys sabrinus coloratus,29,21,67,36
Glaucomys volans,100,40,237,117
Glaux maritima,98,34,215,116
Glechoma hederacea,236,165,525,280
Gleditsia triacanthos,77,69,240,169
Glyceria borealis,67,82,273,174
Glyceria elata,112,73,282,134
Glyceria grandis,121,85,271,149
Glyceria melicaria,92,35,269,128
Glyceria nubigena,104,46,216,133
Glyceria striata,184,143,549,259
Gnaphalium helleri,107,51,270,153
Gnaphalium obtusifolium,116,77,230,150
Gnaphalium palustre,78,88,246,151
Goodyera oblongifolia,66,46,249,103
Goodyera pubescens,115,58,253,132
Graptemys geographica,102,105,217,160
Graptemys ouachitensis,109,83,262,167
Gratiola ebracteata,110,113,224,152
Gratiola floridana,110,60,260,154
Gratiola neglecta,223,108,514,329
Gratiola virginiana,113,64,251,146
Gratiola viscidula,95,107,292,175
Grayia spinosa,95,66,244,151
Grimmia donniana,98,85,243,149
Grimmia laevigata,39,88,229,171
Grimmia olneyi,99,79,256,138
Grimmia pilifera,105,52,235,169
Grindelia camporum var. camporum,97,81,215,150
Grindelia nana,76,109,236,151
Grindelia squarrosa,124,62,246,162
Grus americana,24,13,57,37
Grus canadensis,128,118,285,144
Guiraca caerulea,65,63,228,144
Gulo gulo,114,90,270,157
Gymnocladus dioicus,87,92,266,150
Gymnogyps californianus,30,15,64,47
Gymnopogon ambiguus,93,66,260,155
Gymnorhinus cyanocephalus,108,73,244,109
Gymnosteris parvula,142,50,267,146
Gymnostomum aeruginosum,123,72,252,172
Gypsophila paniculata,71,104,266,174
Gyrinophilus porphyriticus,72,74,252,164
Hackelia floribunda,106,54,238,157
Hackelia micrantha,121,84,229,146
Hackelia mundula,116,88,255,136
Hackelia nervosa,135,89,231,168
Hackelia patens var. patens,89,52,251,115
Hackelia velutina,117,100,257,163
Hackelia virginiana,107,72,242,179
Haemorhous cassinii,136,55,251,152
Haemorhous mexicanus,116,72,280,143
Haemorhous purpureus,92,74,287,139
Halesia tetraptera var. monticola,90,92,205,187
Haliaeetus leucocephalus,94,72,187,112
Hamamelis virginiana,92,90,262,160
Haplohymenium triste,130,64,225,175
Hazardia whitneyi var. whitneyi,95,87,258,153
Hedeoma pulegioides,53,58,237,173
Hedera helix,93,82,264,114
Hedwigia ciliata,118,87,265,138
Hedysarum alpinum var. americanum,78,25,239,122
Hedysarum occidentale,142,69,222,157
Hedysarum sulphurescens,130,102,261,143
Helenium amarum,126,53,250,150
Helenium autumnale,94,67,207,124
Helenium bigelovii,112,92,245,134
Helenium flexuosum,74,58,252,133
Helianthella californica var. nevadensis,115,65,264,155
Helianthella quinquenervis,113,72,237,128
Helianthella uniflora,144,86,248,177
Helianthemum bicknellii,84,82,237,167
Helianthemum canadense,98,81,256,131
Helianthemum propinquum,114,62,246,171
Helianthus,110,83,256,130
Helianthus angustifolius,140,93,252,167
Helianthus annuus,258,98,500,292
Helianthus atrorubens,102,87,233,122
Helianthus bolanderi,109,56,267,145
Helianthus californicus,96,92,268,133
Helianthus decapetalus,104,77,261,141
Helianthus divaricatus,124,82,273,155
Helianthus giganteus,146,68,258,167
Helianthus glaucophyllus,101,110,292,166
Helianthus hirsutus,77,71,241,84
Helianthus maximiliani,116,71,226,120
Helianthus microcephalus,110,50,262,127
Helianthus mollis,94,84,288,104
Helianthus nuttallii,102,78,249,150
Helianthus strumosus,97,77,268,156
Helianthus tuberosus,94,76,223,174
Heliopsis helianthoides,107,80,217,121
Helmitheros vermivorus,85,63,291,138
Hemerocallis fulva,99,93,237,144
Hemerocallis lilioasphodelus,136,57,243,154
Hemidactylium scutatum,103,74,248,137
Hemitremia flammea,85,54,251,149
Hemizonia kelloggii,118,84,255,146
Hepatica nobilis,121,43,281,127
Hepatica nobilis var. acuta,70,76,229,172
Hepatica nobilis var. obtusa,92,103,208,133
Heracleum lanatum,200,186,538,254
Heracleum maximum,129,60,265,125
Herniaria hirsuta ssp. cinerea,111,88,301,167
Herniaria hirsuta ssp. hirsuta,111,92,255,152
Herpetineuron toccoae,108,73,227,148
Herzogiella striatella,88,63,246,154
Hesperis matronalis,248,151,509,268
Hesperochiron californicus,109,35,259,186
Hesperochiron pumilus,75,62,296,154
Hesperostipa comata ssp. comata,83,99,255,128
Heterocladium macounii,102,110,255,128
Heterocodon rariflorum,141,37,272,135
Heterodon platirhinos,101,65,257,127
Heterophyllium affine,106,84,239,138
Heterotheca camporum,122,94,239,147
Heterotheca grandiflora,99,48,270,182
Heterotheca sessiliflora ssp. echioides,140,98,257,157
Heterotheca villosa var. hispida,72,71,224,154
Heterotheca villosa var. nana,71,111,257,140
Heterotheca villosa var. villosa,98,61,276,124
Heuchera americana,104,111,265,163
Heuchera longiflora,100,79,208,102
Heuchera merriamii,103,50,287,170
Heuchera micrantha,92,67,225,146
Heuchera parvifolia,100,64,232,114
Heuchera pubescens,69,69,233,151
Heuchera rubescens var. alpicola,104,92,281,138
Heuchera rubescens var. glandulosa,102,87,251,140
Heuchera rubescens var. rydbergiana,131,60,231,146
Heuchera villosa,131,68,273,164
Hexalectris spicata,96,86,230,127
Hexastylis arifolia,67,105,248,163
Hexastylis heterophylla,94,60,224,128
Hexastylis shuttleworthii,92,41,249,181
Hibiscus moscheutos ssp. moscheutos,101,77,260,181
Hibiscus syriacus,51,67,234,159
Hieracium X marianum,118,93,234,143
Hieracium albiflorum,110,67,259,156
Hieracium argutum,109,88,239,152
Hieracium aurantiacum,104,83,265,184
Hieracium caespitosum,219,145,495,296
Hieracium cynoglossoides,98,76,258,134
Hieracium floribundum,87,77,219,146
Hieracium gracile,73,45,246,146
Hieracium gronovii,85,102,265,139
Hieracium horridum,89,92,255,145
Hieracium paniculatum,75,56,268,133
Hieracium pilosella,68,110,244,140
Hieracium piloselloides,77,57,241,117
Hieracium scabrum,91,72,245,136
Hieracium scouleri,110,67,244,156
Hieracium venosum,116,83,274,146
Hierochloe odorata,70,70,232,127
Himantopus mexicanus,131,54,256,178
Hippuris vulgaris,94,90,245,148
Hirschfeldia incana,157,91,237,131
Hirundo rustica,104,45,230,118
Histrionicus histrionicus,106,66,288,114
Hoita macrostachya,130,84,263,187
Holcus lanatus,296,216,805,463
Holocarpha virgata ssp. virgata,105,76,266,129
Holodiscus discolor,100,77,233,134
Holosteum umbellatum,76,42,231,142
Homalia trichomanoides,103,121,256,169
Homalotheciella subcapillata,49,77,240,168
Homo sapiens,102,80,276,138
Homomallium adnatum,90,63,237,179
Hookeria acutifolia,94,76,264,152
Hordeum brachyantherum,138,63,240,158
Hordeum brachyantherum ssp. brachyantherum,128,103,253,154
Hordeum brachyantherum ssp. californicum,95,39,221,138
Hordeum jubatum,117,57,234,149
Hordeum murinum ssp. glaucum,116,45,273,191
Hordeum murinum ssp. leporinum,101,38,249,177
Hordeum murinum ssp. murinum,78,82,232,115
Hordeum pusillum,226,158,469,284
Hordeum vulgare,88,71,227,165
Horkelia californica ssp. dissita,97,105,205,123
Horkelia fusca ssp. parviflora,108,39,284,165
Horkelia tridentata ssp. tridentata,117,68,238,186
Hosta lancifolia,125,91,260,144
Houstonia caerulea,66,86,262,168
Houstonia longifolia,60,67,221,142
Houstonia longifolia var. longifolia,121,64,254,163
Houstonia longifolia var. tenuifolia,66,73,254,180
Houstonia purpurea,97,91,254,158
Houstonia purpurea var. calycosa,109,93,270,162
Houstonia purpurea var. purpurea,78,61,258,170
Houstonia serpyllifolia,108,45,241,150
Hulsea algida,62,78,226,172
Hulsea brevifolia,91,70,241,126
Hulsea heterochroma,142,85,250,145
Hulsea nana,105,59,238,170
Humulus lupulus,105,89,215,115
Huperzia appalachiana,102,69,229,115
Huperzia lucidula,87,68,267,116
Huperzia porophila,111,75,238,132
Huperzia selago var. densa,93,82,227,118
Huperzia selago var. selago,91,77,281,130
Hutchinsia procumbens,115,66,207,192
Hybanthus concolor,84,70,257,175
Hybopsis amblops,137,69,251,173
Hydrangea arborescens,80,76,247,109
Hydrangea cinerea,96,69,273,143
Hydrangea paniculata,131,72,187,171
Hydrangea radiata,102,86,245,123
Hydrastis canadensis,111,79,246,170
Hydrocotyle americana,90,51,246,167
Hydrocotyle sibthorpioides,100,121,250,155
Hydromantes platycephalus,128,75,189,162
Hydrophyllum canadense,85,54,266,107
Hydrophyllum capitatum var. capitatum,62,78,252,142
Hydrophyllum macrophyllum,74,49,246,176
Hydrophyllum occidentale,126,82,236,155
Hydrophyllum virginianum var. atranthum,106,60,243,168
Hydroprogne caspia,126,124,277,116
Hygroamblystegium tenax,105,103,242,160
Hygrohypnum closteri,79,59,280,132
Hygrohypnum eugyrium,116,54,256,150
Hygrohypnum micans,94,41,269,167
Hygrohypnum molle,87,69,214,129
Hygrohypnum ochraceum,89,72,292,141
Hygrohypnum subeugyrium,135,70,256,144
Hyla chrysoscelis,122,76,198,109
Hyla versicolor,92,47,251,156
Hylocichla mustelina,111,55,230,167
Hylocomiastrum umbratum,75,86,235,149
Hylocomium splendens,101,63,236,144
Hylotelephium erythrostictum,96,64,251,157
Hylotelephium spectabile,39,42,246,144
Hylotelephium telephioides,72,54,260,157
Hylotelephium telephium,111,65,213,125
Hymenocallis caroliniana,90,42,267,149
Hymenophyllum tayloriae,87,104,267,148
Hymenostylium recurvirostre,111,105,277,135
Hyophila involuta,140,89,229,161
Hyoscyamus niger,81,108,279,157
Hypentelium nigricans,110,54,250,158
Hypericum anagalloides,129,92,233,173
Hypericum buckleii,93,86,274,140
Hypericum densiflorum,82,81,228,154
Hypericum drummondii,98,63,269,159
Hypericum gentianoides,143,89,265,155
Hypericum graveolens,71,59,248,157
Hypericum hypericoides,123,73,267,159
Hypericum hypericoides ssp. hypericoides,123,57,229,149
Hypericum hypericoides ssp. multicaule,111,80,259,135
Hypericum mitchellianum,49,56,276,129
Hypericum mutilum,81,62,236,151
Hypericum perforatum,208,160,461,290
Hypericum pseudomaculatum,88,71,236,169
Hypericum punctatum,96,57,275,164
Hypericum virgatum,120,65,254,166
Hypnum cupressiforme,106,48,228,174
Hypnum cupressiforme var. filiforme,90,80,251,153
Hypnum curvifolium,75,90,255,131
Hypnum fertile,85,89,254,157
Hypnum imponens,110,87,238,178
Hypnum lindbergii,110,85,237,162
Hypnum pallescens,125,96,247,171
Hypnum pratense,103,73,235,151
Hypochaeris glabra,101,125,258,141
Hypochaeris radicata,294,195,726,505
Hypoxis hirsuta,117,100,225,137
Hypsiglena torquata nuchalata,94,116,254,204
Ichthyomyzon castaneus,91,67,281,159
Ichthyomyzon greeleyi,70,93,286,153
Ictalurus furcatus,104,72,245,167
Ictalurus punctatus,103,54,232,120
